NORTH,-27,-27,"R2","R1","R3","L2","L6","L5","L4","L3",,,,
NORTH,-27,-26,"R6","R1","R4","R3","L2","L5","L1","L4","L3",,,
NORTH,-27,-25,"R2","R6","R5","R4","R3","L2","L6","L5","L1","L4","L3",
NORTH,-27,-24,"R6","R5","R1","R4","R3","L6","L1","L3",,,,
NORTH,-27,-23,"R4","L6","L1","L4","L3",,,,,,,
NORTH,-27,-22,"R6","R1","R4","L2","L5","L1","L3",,,,,
NORTH,-27,-21,"R2","R4","L2","L6","L5","L1","L4","L3",,,,
NORTH,-27,-20,"R6","R5","R4","L2","L6","L5","L1","L4",,,,
NORTH,-27,-19,"R2","R6","R1","R3","L2","L5","L4",,,,,
NORTH,-27,-18,"R6","R5","L2","L6","L5","L3",,,,,,
NORTH,-27,-17,"R2","R6","R5","R1","R4","R3","L2","L6","L4","L3",,
NORTH,-27,-16,"R6","R5","R1","R4","L1","L4","L3",,,,,
NORTH,-27,-15,"R2","R6","R1","R4","R3","L6","L5","L1","L3",,,
NORTH,-27,-14,"R6","R5","R1","R4","R3","L5","L1","L4","L3",,,
NORTH,-27,-13,"R1","R4","R3","L2","L6","L5","L3",,,,,
NORTH,-27,-12,"R6","R5","R3","L2","L6","L5","L1","L4",,,,
NORTH,-27,-11,"R2","R6","R5","R1","R4","R3","L2","L6","L5","L3",,
NORTH,-27,-10,"R2","R6","R1","R4","R3","L2","L6","L5","L1","L4","L3",
NORTH,-27,-9,"R6","R5","R4","R3","L6","L5","L4","L3",,,,
NORTH,-27,-8,"R6","R5","R1","R3","L2","L6","L5","L1","L3",,,
NORTH,-27,-7,"R2","R6","R5","R4","L2","L6","L1","L4",,,,
NORTH,-27,-6,"R2","R6","R5","R1","R4","R3","L2","L6","L4","L3",,
NORTH,-27,-5,"R2","R6","R1","R3","L6","L5","L1","L4","L3",,,
NORTH,-26,-27,"R2","R5","R1","R3","L2","L6","L5","L1","L4","L3",,
NORTH,-26,-26,"R2","R6","R5","R1","R4","R3","L2","L1","L4","L3",,
NORTH,-26,-25,"R5","R1","L6","L5","L1",,,,,,,
NORTH,-26,-24,"R5","R1","L2","L1",,,,,,,,
NORTH,-26,-23,"R2","R6","R5","R1","R4","R3","L6","L1","L4","L3",,
NORTH,-26,-22,"R2","R5","R1","R4","R3","L2","L6","L1","L4",,,
NORTH,-26,-21,"R2","R6","R1","R4","R3","L6","L5","L4","L3",,,
NORTH,-26,-20,"R2","R6","R1","R4","R3","L2","L5","L4",,,,
NORTH,-26,-19,"R2","R6","R1","R4","R3","L2","L6","L5","L3",,,
NORTH,-26,-18,"R2","R6","R5","R1","R4","R3","L6","L5","L1","L4","L3",
NORTH,-26,-17,"R2","R6","R5","R4","R3","L2","L5","L1","L3",,,
NORTH,-26,-16,"R6","R5","R3","L2","L5","L4","L3",,,,,
NORTH,-26,-15,"R2","R6","R5","R1","R4","R3","L2","L1","L4","L3",,
NORTH,-26,-14,"R2","R6","R5","R1","R3","L2","L6","L5","L4","L3",,
NORTH,-26,-13,"R2","R6","R5","R4","R3","L5","L1","L4","L3",,,
NORTH,-26,-12,"R2","R5","R1","L2","L5","L1","L4","L3",,,,
NORTH,-26,-11,"R2","R6","R5","R4","R3","L2","L6","L5",,,,
NORTH,-26,-10,"R5","R4","L2","L6","L5","L1","L3",,,,,
NORTH,-26,-9,"R6","R5","R1","R3","L2","L1",,,,,,
NORTH,-26,-8,"R2","R6","R5","R1","R3","L2","L1","L3",,,,
NORTH,-26,-7,"R6","R5","R1","R4","L2","L5","L1","L4","L3",,,
NORTH,-26,-6,"R2","R5","R4","L2","L6","L1",,,,,,
NORTH,-26,-5,"R2","R6","R5","R1","R4","R3","L2","L6","L5","L4","L3",
NORTH,-25,-27,"R2","R5","R1","L2","L6","L1","L4","L3",,,,
NORTH,-25,-26,"R2","R6","R5","R4","R3","L6","L1",,,,,
NORTH,-25,-25,"R6","R5","R1","R4","R3","L5","L1","L4",,,,
NORTH,-25,-24,"R2","R6","R5","R1","R4","R3","L2","L6","L3",,,
NORTH,-25,-23,"R6","R5","R1","R4","L6","L1",,,,,,
NORTH,-25,-22,"R6","R1","R3","L2","L6","L5","L1","L4",,,,
NORTH,-25,-21,"R2","R6","R5","R1","R4","R3","L2","L5",,,,
NORTH,-25,-20,"R2","R5","R1","R4","R3","L6","L5","L1","L4","L3",,
NORTH,-25,-19,"R2","R6","R5","R1","R4","R3","L2","L6","L3",,,
NORTH,-25,-18,"R2","R6","R1","R4","R3","L6","L5","L4",,,,
NORTH,-25,-17,"R6","R5","R4","R3","L2","L6","L4","L3",,,,
NORTH,-25,-16,"R2","R6","R1","R4","R3","L2","L6","L1","L4","L3",,
NORTH,-25,-15,"R2","R6","R5","R1","R4","R3","L2","L6","L5","L1","L4","L3"
NORTH,-25,-14,"R2","R1","R4","L2","L6","L5","L1","L4","L3",,,
NORTH,-25,-13,"R2","R6","R5","R1","R4","R3","L2","L6","L5","L1","L4","L3"
NORTH,-25,-12,"R2","R6","R5","R1","R4","R3","L2","L5","L1","L4","L3",
NORTH,-25,-11,"R5","R1","R4","L2","L6","L5","L1","L3",,,,
NORTH,-25,-10,"R2","R5","R1","R4","R3","L5","L1","L3",,,,
NORTH,-25,-9,"R6","R1","R4","R3","L6","L4",,,,,,
NORTH,-25,-8,"R6","R5","R1","L5","L1","L3",,,,,,
NORTH,-25,-7,"R2","R6","R1","R4","R3","L6","L5",,,,,
NORTH,-25,-6,"R2","R5","R1","R3","L2","L6","L5","L1","L4","L3",,
NORTH,-25,-5,"R6","R4","R3","L2","L1","L4",,,,,,
NORTH,-24,-27,"R2","R6","R5","R4","R3","L6","L5","L1",,,,
NORTH,-24,-26,"R5","R1","R4","L2","L6","L5","L1",,,,,
NORTH,-24,-25,"R2","R6","R5","R1","L6","L5","L1","L4","L3",,,
NORTH,-24,-24,"R5","R3","L2","L6","L3",,,,,,,
NORTH,-24,-23,"R6","R5","R1","R4","R3","L6","L5","L1","L3",,,
NORTH,-24,-22,"R2","R6","R5","R1","R4","L6","L5","L1","L4",,,
NORTH,-24,-21,"R5","R4","R3","L2","L5","L4","L3",,,,,
NORTH,-24,-20,"R2","R1","R3","L6","L1","L3",,,,,,
NORTH,-24,-19,"R2","R5","R4","R3","L2","L5","L1",,,,,
NORTH,-24,-18,"R2","R6","R5","R1","R3","L2","L6","L5","L1","L4","L3",
NORTH,-24,-17,"R6","R1","R4","R3","L2","L6","L5","L4",,,,
NORTH,-24,-16,"R2","R5","R1","R4","R3","L2","L6","L4",,,,
NORTH,-24,-15,"R2","R6","R5","R1","R4","R3","L2","L6","L1","L3",,
NORTH,-24,-14,"R2","R6","R5","R1","R4","L2","L6","L5","L1","L3",,
NORTH,-24,-13,"R2","R6","R1","R4","L2","L1","L4","L3",,,,
NORTH,-24,-12,"R2","R6","R5","R1","R4","R3","L2","L6","L5","L4",,
NORTH,-24,-11,"R6","R4","R3","L1","L3",,,,,,,
